History,Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value,Unnamed: 7,Current Price,+/-Reported Price,52Week Low,52Week High,Investor,Page
≡,ENOV - Enovis Corp.,7.18,Buy,2553180,$31.36,"$80,068,000",,$30.44,-2.93%,$25.47,$49.83,Pat Dorsey - Dorsey Asset Management,1
≡,WIX - Wix.com Ltd.,2.09,Reduce 54.04%,146777,$158.46,"$23,258,000",,$126.62,-20.09%,$114.89,$247.11,Pat Dorsey - Dorsey Asset Management,1
≡,SEMR - SEMrush Holdings Inc.,1.85,Add 1.23%,2284578,$9.05,"$20,675,000",,$7.73,-14.59%,$7.01,$18.74,Pat Dorsey - Dorsey Asset Management,1
≡,GE - GE Aerospace,24.12,Reduce 0.13%,47510431,$257.39,"$12,228,710,000",,$265.93,3.32%,$158.81,$281.50,Chris Hohn - TCI Fund Management,1
≡,MSFT - Microsoft Corp.,17.23,Add 1.53%,17565231,$497.41,"$8,737,122,000",,$509.77,2.48%,$344.16,$555.45,Chris Hohn - TCI Fund Management,1
≡,V - Visa Inc.,13.35,Add 14.61%,19067558,$355.05,"$6,769,936,000",,$342.45,-3.55%,$263.46,$374.85,Chris Hohn - TCI Fund Management,1
≡,MCO - Moody's Corp.,13.1,Add 0.64%,13246979,$501.59,"$6,644,552,000",,$512.00,2.08%,$377.30,$528.95,Chris Hohn - TCI Fund Management,1
≡,SPGI - S&P Global Inc.,11.53,Add 7.05%,11091623,$527.29,"$5,848,502,000",,$554.43,5.15%,$426.35,$579.05,Chris Hohn - TCI Fund Management,1
≡,CP - Canadian Pacific Kansas City,8.26,Reduce 3.80%,52826885,$79.29,"$4,188,853,000",,$74.84,-5.61%,$66.35,$87.07,Chris Hohn - TCI Fund Management,1
≡,CNI - Canadian Natl Railway Co.,4.72,Reduce 14.54%,22989066,$104.15,"$2,394,410,000",,$94.35,-9.41%,$90.87,$118.70,Chris Hohn - TCI Fund Management,1
≡,GOOG - Alphabet Inc. CL C,4.54,Reduce 6.42%,12966235,$177.39,"$2,300,080,000",,$202.49,14.15%,$142.49,$208.21,Chris Hohn - TCI Fund Management,1
≡,FER - Ferrovial Se,2.05,Add 0.71%,19470666,$53.35,"$1,038,720,000",,$54.62,2.38%,$37.61,$56.04,Chris Hohn - TCI Fund Management,1
≡,GOOGL - Alphabet Inc.,1.1,Reduce 22.77%,3155110,$176.23,"$556,025,000",,$201.57,14.38%,$140.36,$206.56,Chris Hohn - TCI Fund Management,1
≡,AMZN - Amazon.com Inc.,20.04,,324640,$219.39,"$71,223,000",,$228.01,3.93%,$161.38,$242.52,Josh Tarasoff - Greenlea Lane Capital,1
≡,BAM - Brookfield Asset Management,16.57,Buy,952215,$61.85,"$58,894,000",,$60.01,-2.97%,$38.32,$64.10,Josh Tarasoff - Greenlea Lane Capital,1
≡,BRK.A - Berkshire Hathaway CL A,13.74,,67,$728805.97,"$48,830,000",,$727200.00,-0.22%,$657497.50,$812855.00,Josh Tarasoff - Greenlea Lane Capital,1
≡,BUR - Burford Capital Ltd,12.86,Add 325.39%,3362322,$13.60,"$45,724,000",,$13.84,1.76%,$10.70,$15.66,Josh Tarasoff - Greenlea Lane Capital,1
≡,MKL - Markel Group Inc.,12.62,,22455,$1997.37,"$44,851,000",,$1955.44,-2.10%,$1494.00,$2075.92,Josh Tarasoff - Greenlea Lane Capital,1
≡,TRUP - Trupanion Inc.,11.9,Reduce 15.83%,764095,$55.35,"$42,293,000",,$47.98,-13.32%,$31.00,$57.90,Josh Tarasoff - Greenlea Lane Capital,1
≡,TSLA - Tesla Inc.,7.09,Reduce 2.13%,79335,$317.67,"$25,202,000",,$329.31,3.66%,$202.59,$488.54,Josh Tarasoff - Greenlea Lane Capital,1
≡,GOOGL - Alphabet Inc.,5.19,,104770,$176.23,"$18,464,000",,$201.57,14.38%,$140.36,$206.56,Josh Tarasoff - Greenlea Lane Capital,1
≡,META - Meta Platforms Inc.,11.44,Reduce 8.11%,3568752,$738.09,"$2,634,060,000",,$751.48,1.81%,$479.43,$796.25,Terry Smith - Fundsmith,1
≡,MSFT - Microsoft Corp.,10.68,Reduce 7.98%,4941509,$497.41,"$2,457,956,000",,$509.77,2.48%,$344.16,$555.45,Terry Smith - Fundsmith,1
≡,SYK - Stryker Corp.,8.04,Reduce 7.74%,4677007,$395.63,"$1,850,364,000",,$389.94,-1.44%,$328.46,$404.87,Terry Smith - Fundsmith,1
≡,PM - Philip Morris Intl.,7.18,Reduce 16.03%,9074195,$182.13,"$1,652,683,000",,$168.77,-7.34%,$113.63,$185.29,Terry Smith - Fundsmith,1
≡,IDXX - IDEXX Laboratories,6.15,Reduce 0.34%,2639289,$536.34,"$1,415,556,000",,$636.71,18.71%,$356.14,$688.12,Terry Smith - Fundsmith,1
≡,V - Visa Inc.,5.95,Reduce 6.84%,3854071,$355.05,"$1,368,388,000",,$342.45,-3.55%,$263.46,$374.85,Terry Smith - Fundsmith,1
≡,ADP - Automatic Data Processing Inc.,5.84,Reduce 3.36%,4362099,$308.40,"$1,345,271,000",,$305.72,-0.87%,$258.07,$328.29,Terry Smith - Fundsmith,1
≡,WAT - Waters Corp.,5.47,Reduce 0.13%,3608407,$349.04,"$1,259,478,000",,$297.72,-14.70%,$275.05,$423.56,Terry Smith - Fundsmith,1
≡,GOOGL - Alphabet Inc.,5.21,Reduce 0.58%,6803454,$176.23,"$1,198,973,000",,$201.57,14.38%,$140.36,$206.56,Terry Smith - Fundsmith,1
≡,MAR - Marriott Int'l.,5.03,Reduce 0.35%,4236599,$273.21,"$1,157,481,000",,$266.78,-2.35%,$204.87,$306.04,Terry Smith - Fundsmith,1
≡,FTNT - Fortinet Inc.,3.87,Reduce 1.23%,8418362,$105.72,"$889,989,000",,$78.09,-26.14%,$70.12,$114.82,Terry Smith - Fundsmith,1
≡,PG - Procter & Gamble,3.16,Reduce 1.04%,4572280,$159.32,"$728,456,000",,$158.40,-0.58%,$149.91,$177.66,Terry Smith - Fundsmith,1
≡,MTD - Mettler-Toledo International Inc.,3.01,Reduce 0.14%,590037,$1174.72,"$693,128,000",,$1322.57,12.59%,$946.69,$1521.01,Terry Smith - Fundsmith,1
≡,CHD - Church & Dwight,2.85,Reduce 0.34%,6824289,$96.11,"$655,882,000",,$94.06,-2.13%,$90.22,$115.72,Terry Smith - Fundsmith,1
≡,OTIS - Otis Worldwide Corp.,2.5,Reduce 0.81%,5819151,$99.02,"$576,212,000",,$88.59,-10.53%,$83.85,$105.86,Terry Smith - Fundsmith,1
≡,TXN - Texas Instruments,2.45,Reduce 0.20%,2720290,$207.62,"$564,787,000",,$195.94,-5.63%,$137.77,$220.10,Terry Smith - Fundsmith,1
≡,ZTS - Zoetis Inc.,1.95,Add 13.29%,2884831,$155.95,"$449,889,000",,$155.67,-0.18%,$138.77,$197.92,Terry Smith - Fundsmith,1
≡,NKE - NIKE Inc.,1.89,Reduce 0.10%,6129483,$71.04,"$435,438,000",,$76.88,8.22%,$51.93,$89.11,Terry Smith - Fundsmith,1
≡,INTU - Intuit Inc.,1.26,Add 102.91%,368540,$787.63,"$290,273,000",,$701.03,-11.00%,$531.00,$813.70,Terry Smith - Fundsmith,1
≡,ODD - Oddity Tech Ltd Cl A,0.46,Reduce 12.27%,1416956,$75.47,"$106,938,000",,$61.70,-18.25%,$32.71,$79.18,Terry Smith - Fundsmith,1
≡,QLYS - Qualys Inc.,0.45,,718602,$142.87,"$102,667,000",,$133.10,-6.84%,$112.61,$170.00,Terry Smith - Fundsmith,1
≡,MSCI - MSCI Inc.,0.42,,166619,$576.74,"$96,096,000",,$568.16,-1.49%,$483.67,$636.39,Terry Smith - Fundsmith,1
≡,PAYC - Paycom Software Inc.,0.42,,413510,$231.40,"$95,686,000",,$227.93,-1.50%,$152.34,$267.76,Terry Smith - Fundsmith,1
≡,CHH - Choice Hotels Int. Inc.,0.4,,733892,$126.88,"$93,116,000",,$121.54,-4.21%,$115.94,$157.16,Terry Smith - Fundsmith,1
≡,VRT - Vertiv Holdings Co.,0.4,Buy,724923,$128.41,"$93,087,000",,$129.05,0.50%,$53.58,$155.72,Terry Smith - Fundsmith,1
≡,DOCS - Doximity Inc.,0.36,Add 13.96%,1355944,$61.34,"$83,174,000",,$63.61,3.70%,$35.32,$85.21,Terry Smith - Fundsmith,1
≡,ROL - Rollins Inc.,0.36,Reduce 7.44%,1478629,$56.42,"$83,424,000",,$57.94,2.69%,$44.94,$58.93,Terry Smith - Fundsmith,1
≡,GGG - Graco Inc.,0.34,Reduce 20.98%,900545,$85.97,"$77,420,000",,$86.22,0.29%,$71.58,$91.95,Terry Smith - Fundsmith,1
≡,VRSN - Verisign Inc.,0.34,Reduce 52.52%,270634,$288.80,"$78,159,000",,$269.23,-6.78%,$174.64,$309.71,Terry Smith - Fundsmith,1
≡,CLX - Clorox Co.,0.32,,613497,$120.07,"$73,663,000",,$120.81,0.62%,$116.17,$166.90,Terry Smith - Fundsmith,1
≡,SABR - Sabre Corp.,0.3,,21499095,$3.16,"$67,937,000",,$1.81,-42.72%,$1.73,$4.63,Terry Smith - Fundsmith,1
≡,CPRX - Catalyst Pharmaceuticals Inc.,0.26,Add 25.93%,2709086,$21.70,"$58,787,000",,$20.25,-6.68%,$19.00,$26.58,Terry Smith - Fundsmith,1
≡,MANH - Manhattan Associates,0.25,Buy,288332,$197.47,"$56,937,000",,$215.55,9.16%,$140.81,$312.60,Terry Smith - Fundsmith,1
≡,EXPO - Exponent Inc.,0.24,Reduce 10.72%,746820,$74.71,"$55,795,000",,$69.60,-6.84%,$63.81,$114.55,Terry Smith - Fundsmith,1
≡,VRSK - Verisk Analytics Inc.,0.24,Reduce 46.71%,176195,$311.50,"$54,885,000",,$271.01,-13.00%,$259.01,$322.46,Terry Smith - Fundsmith,1
≡,MEDP - Medpace Holdings Inc.,0.17,,127537,$313.86,"$40,029,000",,$462.14,47.24%,$250.05,$501.30,Terry Smith - Fundsmith,1
≡,HD - Home Depot,0.13,Reduce 27.34%,83367,$366.64,"$30,566,000",,$407.20,11.06%,$324.29,$431.63,Terry Smith - Fundsmith,1
≡,NSSC - Napco Security Technologies Inc.,0.12,Buy,954912,$29.69,"$28,351,000",,$30.80,3.74%,$18.91,$57.05,Terry Smith - Fundsmith,1
≡,MA - Mastercard Inc.,0.07,Reduce 44.06%,27663,$561.94,"$15,545,000",,$585.51,4.19%,$459.26,$593.91,Terry Smith - Fundsmith,1
≡,ORLA - Orla Mining Ltd,29.9,,56817229,$9.85,"$559,636,000",,$9.46,-3.96%,$3.81,$12.83,Prem Watsa - Fairfax Financial Holdings,1
≡,OXY - Occidental Petroleum,13.58,Add 0.50%,6050418,$42.00,"$254,118,000",,$43.96,4.67%,$34.59,$57.35,Prem Watsa - Fairfax Financial Holdings,1
≡,CVS - CVS Health Corp.,9.99,,2712000,$68.94,"$186,965,000",,$70.97,2.94%,$42.12,$71.73,Prem Watsa - Fairfax Financial Holdings,1
≡,BB - BlackBerry Ltd.,9.98,Reduce 12.71%,40784700,$4.58,"$186,794,000",,$3.66,-20.09%,$2.22,$6.24,Prem Watsa - Fairfax Financial Holdings,1
≡,KHC - Kraft Heinz Co.,6.74,Add 45.40%,4884000,$25.81,"$126,056,000",,$27.67,7.21%,$25.44,$35.08,Prem Watsa - Fairfax Financial Holdings,1
≡,CLF - Cleveland-Cliffs Inc.,6.05,,14899273,$7.60,"$113,234,000",,$10.43,37.24%,$5.63,$14.34,Prem Watsa - Fairfax Financial Holdings,1
≡,KW - Kennedy-Wilson Holdings Inc.,4.83,,13322009,$6.79,"$90,456,000",,$8.28,21.94%,$5.88,$11.37,Prem Watsa - Fairfax Financial Holdings,1
≡,ATS - Ats Corp,4.23,,2486400,$31.81,"$79,103,000",,$27.26,-14.30%,$20.90,$33.13,Prem Watsa - Fairfax Financial Holdings,1
≡,TAP - Molson Coors Beverage Co.,3.13,Add 0.99%,1218500,$48.09,"$58,598,000",,$51.55,7.19%,$46.94,$64.07,Prem Watsa - Fairfax Financial Holdings,1
≡,UAA - Under Armour Inc.,2.3,,6311800,$6.82,"$43,046,000",,$5.08,-25.51%,$4.78,$11.89,Prem Watsa - Fairfax Financial Holdings,1
≡,VOO - Vanguard S&P 500 ETF,2.21,Buy,72900,$567.96,"$41,404,000",,$588.13,3.55%,$441.44,$594.03,Prem Watsa - Fairfax Financial Holdings,1
≡,TSM - Taiwan Semiconductor S.A.,1.13,Reduce 33.87%,93700,$226.35,"$21,209,000",,$232.70,2.81%,$133.78,$248.28,Prem Watsa - Fairfax Financial Holdings,1
≡,BNS - Bank of Nova Scotia,1.06,,359100,$55.21,"$19,825,000",,$56.66,2.63%,$43.45,$56.98,Prem Watsa - Fairfax Financial Holdings,1
≡,GM - General Motors,0.99,,375965,$49.19,"$18,494,000",,$57.06,16.00%,$41.47,$60.75,Prem Watsa - Fairfax Financial Holdings,1
≡,PFE - Pfizer Inc.,0.84,,650900,$24.23,"$15,771,000",,$25.32,4.50%,$20.18,$28.43,Prem Watsa - Fairfax Financial Holdings,1
≡,HP - Helmerich & Payne,0.79,Add 25.84%,974105,$15.16,"$14,767,000",,$17.80,17.41%,$14.45,$35.97,Prem Watsa - Fairfax Financial Holdings,1
≡,MRK - Merck & Co.,0.73,,172900,$79.10,"$13,676,000",,$84.93,7.37%,$72.58,$116.37,Prem Watsa - Fairfax Financial Holdings,1
≡,JNJ - Johnson & Johnson,0.6,,73400,$152.63,"$11,203,000",,$177.80,16.49%,$138.38,$178.18,Prem Watsa - Fairfax Financial Holdings,1
≡,GTX - Garrett Motion Inc.,0.17,,304360,$10.49,"$3,193,000",,$13.04,24.31%,$6.98,$13.32,Prem Watsa - Fairfax Financial Holdings,1
≡,CIGI - Colliers International Group Inc.,0.15,,22000,$128.09,"$2,818,000",,$164.61,28.51%,$100.74,$165.42,Prem Watsa - Fairfax Financial Holdings,1
≡,FNV - Franco Nevada Corp.,0.15,,16800,$163.87,"$2,753,000",,$173.40,5.82%,$111.82,$180.98,Prem Watsa - Fairfax Financial Holdings,1
≡,KKR - KKR & Co. L.P.,0.14,,20000,$132.90,"$2,658,000",,$138.95,4.55%,$85.90,$169.70,Prem Watsa - Fairfax Financial Holdings,1
≡,ATHM - Autohome Inc.,0.07,,54000,$25.80,"$1,393,000",,$28.11,8.95%,$22.07,$33.18,Prem Watsa - Fairfax Financial Holdings,1
≡,CPRI - Capri Holdings Ltd,0.07,,78100,$17.70,"$1,382,000",,$20.08,13.45%,$11.86,$43.34,Prem Watsa - Fairfax Financial Holdings,1
≡,PENN - Penn National Gaming Inc.,0.05,Buy,54900,$17.87,"$981,000",,$18.52,3.64%,$13.25,$23.08,Prem Watsa - Fairfax Financial Holdings,1
≡,BRK.A - Berkshire Hathaway CL A,0.04,,1,$728000.00,"$728,000",,$727200.00,-0.11%,$657497.50,$812855.00,Prem Watsa - Fairfax Financial Holdings,1
≡,LWAY - Lifeway Foods Inc.,0.04,Add 82.06%,31618,$24.64,"$779,000",,$30.59,24.15%,$17.82,$31.40,Prem Watsa - Fairfax Financial Holdings,1
≡,MX - MagnaChip Semiconductor Corp.,0.03,,125000,$3.97,"$496,000",,$2.79,-29.72%,$2.51,$5.16,Prem Watsa - Fairfax Financial Holdings,1
≡,EQH - Equitable Holdings Inc.,36.51,,5000000,$56.10,"$280,500,000",,$52.46,-6.49%,$37.24,$56.31,Greg Alexander - Conifer Management,1
≡,GPI - Group 1 Automotive,32.31,,568424,$436.71,"$248,236,000",,$452.70,3.66%,$335.20,$488.98,Greg Alexander - Conifer Management,1
≡,LAD - Lithia Motors Inc.,21.98,,500000,$337.82,"$168,910,000",,$307.93,-8.85%,$253.58,$403.49,Greg Alexander - Conifer Management,1
≡,YNDX - Yandex N.V.,5.04,,700000,$55.33,"$38,731,000",,$20.00,-63.85%,$14.09,$20.36,Greg Alexander - Conifer Management,1
≡,RMNI - Rimini Street Inc.,2.9,,5913199,$3.77,"$22,293,000",,$4.07,7.96%,$1.53,$5.38,Greg Alexander - Conifer Management,1
≡,SDHC - Smith Douglas Homes Corp,1.26,Buy,500000,$19.42,"$9,710,000",,$20.53,5.72%,$16.28,$39.50,Greg Alexander - Conifer Management,1
≡,TRMD - Torm Plc,17.26,,40581120,$16.80,"$681,588,000",,$20.11,19.70%,$13.30,$33.40,Howard Marks - Oaktree Capital Management,1
≡,EXE - Expand Energy Corp.,15.0,Reduce 8.99%,5062364,$116.94,"$591,993,000",,$93.05,-20.43%,$66.93,$121.48,Howard Marks - Oaktree Capital Management,1
≡,GTX - Garrett Motion Inc.,9.82,Reduce 16.31%,36894816,$10.51,"$387,765,000",,$13.04,24.07%,$6.98,$13.32,Howard Marks - Oaktree Capital Management,1
≡,STR-OLD - Sitio Royalties Corp A,6.03,Add 0.08%,12945551,$18.38,"$237,939,000",,$18.12,-1.41%,$14.02,$23.74,Howard Marks - Oaktree Capital Management,1
≡,AU - AngloGold Ashanti Ltd.,5.71,Reduce 9.46%,4947737,$45.57,"$225,468,000",,$52.15,14.44%,$21.91,$59.19,Howard Marks - Oaktree Capital Management,1
≡,INDV - Indivior Plc,4.11,,11009125,$14.74,"$162,275,000",,$23.48,59.29%,$7.33,$23.84,Howard Marks - Oaktree Capital Management,1
≡,STKL - SunOpta Inc.,3.04,,20726126,$5.80,"$120,187,000",,$6.24,7.59%,$3.65,$8.11,Howard Marks - Oaktree Capital Management,1
≡,RWAY - Runway Growth Finance Corp,2.66,Reduce 9.28%,9779667,$10.73,"$104,936,000",,$10.73,0.00%,$7.80,$11.03,Howard Marks - Oaktree Capital Management,1
≡,CX - Cemex,2.6,Reduce 23.45%,14839032,$6.93,"$102,834,000",,$8.65,24.82%,$4.87,$8.83,Howard Marks - Oaktree Capital Management,1
≡,"VIST - Vista Oil & Gas, S.A.B. de C.V.",2.5,Reduce 5.63%,2061561,$47.81,"$98,563,000",,$40.12,-16.08%,$32.11,$61.67,Howard Marks - Oaktree Capital Management,1
≡,NOK - Nokia Corp.,2.46,Add 0.00%,18752229,$5.18,"$97,137,000",,$4.21,-18.73%,$3.81,$5.41,Howard Marks - Oaktree Capital Management,1
≡,FCX - Freeport-McMoran Inc.,2.19,Reduce 8.90%,1996075,$43.35,"$86,530,000",,$41.46,-4.36%,$27.45,$51.85,Howard Marks - Oaktree Capital Management,1
≡,LBTYA - Liberty Global Ltd CL A,2.08,Add 13.99%,8212191,$10.01,"$82,204,000",,$11.38,13.69%,$9.03,$14.30,Howard Marks - Oaktree Capital Management,1
≡,CBL - CBL & Associates Pptys Inc.,1.93,,3005126,$25.39,"$76,300,000",,$30.69,20.87%,$20.76,$31.63,Howard Marks - Oaktree Capital Management,1
≡,ITUB - ita Unibanco Holding S.A.,1.89,Add 58.54%,11004494,$6.79,"$74,721,000",,$6.65,-2.06%,$4.16,$7.13,Howard Marks - Oaktree Capital Management,1
≡,B - Barrick Mining Corp.,1.67,Add 25.47%,3157686,$20.82,"$65,743,000",,$23.97,15.13%,$14.95,$24.48,Howard Marks - Oaktree Capital Management,1
≡,TAC - TransAlta Corp.,1.66,Add 8.95%,6085253,$10.77,"$65,513,000",,$12.37,14.86%,$7.78,$14.51,Howard Marks - Oaktree Capital Management,1
≡,KRC - Kilroy Realty Corp.,1.61,,1850011,$34.31,"$63,474,000",,$39.12,14.02%,$26.65,$41.84,Howard Marks - Oaktree Capital Management,1
≡,CRC - California Resources Corp.,1.59,,1376753,$45.67,"$62,876,000",,$47.38,3.74%,$30.69,$58.91,Howard Marks - Oaktree Capital Management,1
≡,GRAB - Grab Holdings Ltd Cl A,1.47,Add 12.59%,11569295,$5.03,"$58,194,000",,$5.05,0.40%,$3.17,$5.72,Howard Marks - Oaktree Capital Management,1
≡,SBLK - Star Bulk Carriers Corp.,1.41,Reduce 39.88%,3230527,$17.25,"$55,727,000",,$18.37,6.49%,$12.02,$22.77,Howard Marks - Oaktree Capital Management,1
≡,TLN - Talen Energy Corp,0.96,Reduce 59.41%,129829,$290.77,"$37,750,000",,$368.16,26.62%,$133.02,$394.07,Howard Marks - Oaktree Capital Management,1
≡,BLCO - Bausch + Lomb Corp,0.83,Buy,2521245,$13.01,"$32,801,000",,$14.61,12.30%,$10.45,$21.69,Howard Marks - Oaktree Capital Management,1
≡,EC - Ecopetrol SA Sponsored ADR,0.8,Add 12.26%,3549822,$8.85,"$31,416,000",,$8.90,0.56%,$6.50,$9.95,Howard Marks - Oaktree Capital Management,1
≡,BZ - Kanzhun Ltd,0.71,Add 34.19%,1571272,$17.84,"$28,031,000",,$21.07,18.11%,$10.57,$22.67,Howard Marks - Oaktree Capital Management,1
≡,TX - Ternium S.A.,0.7,Add 13.18%,919709,$30.10,"$27,683,000",,$32.40,7.64%,$22.51,$34.69,Howard Marks - Oaktree Capital Management,1
≡,BEKE - KE Holdings Inc.,0.68,Add 20.58%,1513039,$17.74,"$26,841,000",,$18.00,1.47%,$13.01,$25.51,Howard Marks - Oaktree Capital Management,1
≡,OCSL - Oaktree Specialty Lending Corp,0.64,,1852456,$13.66,"$25,305,000",,$13.73,0.51%,$12.13,$15.38,Howard Marks - Oaktree Capital Management,1
≡,TEO - Telecom Argentina S.A.,0.59,Reduce 2.40%,2644263,$8.83,"$23,349,000",,$9.35,5.89%,$6.45,$15.54,Howard Marks - Oaktree Capital Management,1
≡,YMM - Full Truck Alliance Spn ADR,0.55,Buy,1842337,$11.81,"$21,758,000",,$10.93,-7.45%,$6.79,$13.73,Howard Marks - Oaktree Capital Management,1
≡,VALE - Vale SA,0.5,Reduce 66.19%,2033706,$9.71,"$19,747,000",,$9.71,0.00%,$7.79,$11.11,Howard Marks - Oaktree Capital Management,1
≡,"ATUS - Altice USA, Inc.",0.41,,7500000,$2.14,"$16,050,000",,$2.34,9.35%,$1.55,$3.20,Howard Marks - Oaktree Capital Management,1
≡,LILAK - Liberty LiLAC Group C,0.37,Buy,2328516,$6.22,"$14,483,000",,$7.94,27.65%,$4.23,$10.67,Howard Marks - Oaktree Capital Management,1
≡,UNIT - Uniti Group Inc.,0.37,,3397592,$4.32,"$14,678,000",,$6.25,44.68%,$6.14,$8.35,Howard Marks - Oaktree Capital Management,1
≡,ALVO - Alvotech SA,0.36,Reduce 16.31%,1563676,$9.12,"$14,261,000",,$8.69,-4.71%,$7.35,$13.70,Howard Marks - Oaktree Capital Management,1
≡,SE - Sea Ltd,0.34,Buy,83513,$159.94,"$13,357,000",,$179.25,12.07%,$75.67,$181.76,Howard Marks - Oaktree Capital Management,1
≡,MX - MagnaChip Semiconductor Corp.,0.29,,2849858,$3.98,"$11,342,000",,$2.79,-29.90%,$2.51,$5.16,Howard Marks - Oaktree Capital Management,1
≡,BRY - Berry Petroleum Corp.,0.26,,3697000,$2.77,"$10,241,000",,$2.83,2.17%,$2.06,$6.17,Howard Marks - Oaktree Capital Management,1
≡,CHKEL - Chesapeake Energy Corp. WTS,0.26,,95294,$108.28,"$10,318,000",,$53.21,-50.86%,$50.86,$78.30,Howard Marks - Oaktree Capital Management,1
≡,YPF - YPF S.A.,0.26,Buy,324330,$31.45,"$10,200,000",,$31.97,1.65%,$20.42,$47.43,Howard Marks - Oaktree Capital Management,1
≡,ALVOW - Alvotech SA 27,0.21,,4666667,$1.77,"$8,237,000",,$1.25,-29.38%,$1.02,$4.99,Howard Marks - Oaktree Capital Management,1
≡,BHC - Bausch Health,0.21,,1270000,$6.66,"$8,458,000",,$7.79,16.97%,$4.25,$9.85,Howard Marks - Oaktree Capital Management,1
≡,SMRT - SmartRent Inc.,0.19,,7505294,$0.99,"$7,430,000",,$1.50,51.52%,$0.67,$1.99,Howard Marks - Oaktree Capital Management,1
≡,HDB - HDFC Bank Ltd.,0.16,Reduce 5.41%,84843,$76.67,"$6,505,000",,$74.86,-2.36%,$57.05,$78.61,Howard Marks - Oaktree Capital Management,1
≡,HDSN - Hudson Technologies Inc.,0.12,Buy,562662,$8.12,"$4,569,000",,$9.51,17.12%,$5.11,$10.06,Howard Marks - Oaktree Capital Management,1
≡,BMA - Banco Macro S.A.,0.11,Reduce 76.74%,60591,$70.21,"$4,254,000",,$65.70,-6.42%,$50.14,$117.08,Howard Marks - Oaktree Capital Management,1
≡,BATL - Battalion Oil Corp.,0.1,,3009912,$1.29,"$3,883,000",,$1.06,-17.83%,$1.02,$6.89,Howard Marks - Oaktree Capital Management,1
≡,TPICQ - TPI Composites Inc.,0.1,,4610003,$0.86,"$3,961,000",,$0.12,-86.05%,$0.11,$5.15,Howard Marks - Oaktree Capital Management,1
≡,JBS - Jbs Nv A,0.09,Buy,238610,$14.61,"$3,486,000",,$15.09,3.29%,$12.83,$15.23,Howard Marks - Oaktree Capital Management,1
≡,TGS - Transportadora de Gas Del Sur SA,0.09,Reduce 71.60%,137630,$25.90,"$3,565,000",,$27.07,4.52%,$17.89,$34.37,Howard Marks - Oaktree Capital Management,1
≡,BAK - Braskem S.A.,0.04,Reduce 80.67%,453167,$3.28,"$1,486,000",,$2.84,-13.41%,$2.80,$7.71,Howard Marks - Oaktree Capital Management,1
≡,BTAI - Bioxcel Therapeutics Inc,0.01,Buy,241188,$1.81,"$437,000",,$4.92,171.82%,$1.17,$13.36,Howard Marks - Oaktree Capital Management,1
≡,GOOG - Alphabet Inc. CL C,11.36,Add 26.76%,2633988,$177.39,"$467,243,000",,$202.49,14.15%,$142.49,$208.21,Seth Klarman - Baupost Group,1
≡,WCC - WESCO International Inc.,9.94,Add 10.07%,2207601,$185.20,"$408,848,000",,$211.93,14.43%,$124.88,$219.07,Seth Klarman - Baupost Group,1
≡,WTW - Willis Towers Watson plc,9.79,Reduce 13.86%,1314184,$306.50,"$402,797,000",,$335.47,9.45%,$277.14,$342.16,Seth Klarman - Baupost Group,1
≡,CRH - CRH plc,8.54,Add 41.98%,3825395,$91.80,"$351,171,000",,$112.44,22.48%,$76.45,$113.95,Seth Klarman - Baupost Group,1
≡,FIS - Fidelity National Information Services,7.5,Add 8.50%,3789711,$81.41,"$308,520,000",,$69.33,-14.84%,$66.18,$90.63,Seth Klarman - Baupost Group,1
≡,DG - Dollar General,7.41,Add 26.70%,2666876,$114.38,"$305,037,000",,$112.78,-1.40%,$65.67,$123.68,Seth Klarman - Baupost Group,1
≡,QSR - Restaurant Brands International,6.52,Add 4.19%,4049562,$66.29,"$268,445,000",,$66.56,0.41%,$58.16,$72.08,Seth Klarman - Baupost Group,1
≡,LBTYK - Liberty Global Ltd CL C,6.18,,24657803,$10.31,"$254,222,000",,$11.38,10.38%,$9.21,$14.83,Seth Klarman - Baupost Group,1
≡,FERG - Ferguson Enterprises Inc.,5.99,,1132000,$217.75,"$246,493,000",,$232.38,6.72%,$145.43,$235.12,Seth Klarman - Baupost Group,1
≡,ELV - Elevance Health Inc.,5.82,Add 150.41%,616000,$388.96,"$239,599,000",,$312.00,-19.79%,$273.71,$558.44,Seth Klarman - Baupost Group,1
≡,FI - Fiserv Inc.,3.75,Buy,895000,$172.41,"$154,307,000",,$139.11,-19.31%,$128.22,$238.59,Seth Klarman - Baupost Group,1
≡,EXP - Eagle Materials Inc.,3.32,Reduce 25.66%,676257,$202.11,"$136,678,000",,$233.19,15.38%,$191.91,$320.85,Seth Klarman - Baupost Group,1
≡,VSAT - Viasat Inc.,3.26,Reduce 9.81%,9190728,$14.60,"$134,185,000",,$26.08,78.63%,$6.69,$28.59,Seth Klarman - Baupost Group,1
≡,GDS - GDS Holdings Ltd,2.41,Reduce 23.53%,3249952,$30.57,"$99,351,000",,$31.59,3.34%,$12.57,$52.50,Seth Klarman - Baupost Group,1
≡,LBRDK - Liberty Broadband Corp. CL C,1.78,Add 337.03%,745610,$98.38,"$73,353,000",,$61.40,-37.59%,$54.51,$97.16,Seth Klarman - Baupost Group,1
